;;DashBoard Forças e Fraquezas;;;;;;
Aparecer Força;1;;;;;;Aparecer Fraqueza;1
;;;;;;;;
Power_Name;' Forças;;;;;;Power_Name;' Fraqueza
Super Speed;10;;;;;;Reflexes;10
Molecular Manipulation;9;;;;;;Phoenix Force;10
Energy Manipulation;9;;;;;;Animal Attributes;10
Flight;9;;;;;;Illumination;10
Dimensional Awareness;8;;;;;;Cryokinesis;9
Super Strength;8;;;;;;Accelerated Healing;9
Dimensional Travel;8;;;;;;Shapeshifting;9
Invulnerability;8;;;;;;Gravity Control;9
Power Cosmic;7;;;;;;Astral Projection;9
Intelligence;7;;;;;;Toxin and Disease Control;9
Teleportation;5;;;;;;Seismic Power;9
Magic;5;;;;;;Vision - Microscopic;9
Immortality;5;;;;;;Echolocation;9
Size Changing;5;;;;;;Jump;9
Total Geral;103;;;;;;Vitakinesis;9
;;;;;;;Intuitive aptitude;9
;;;;;;;Mind Control;9
;;;;;;;Durability;8
;;;;;;;Summoning;8
;;;;;;;Audio Control;8
;;;;;;;Animal Oriented Powers;8
;;;;;;;Density Control;7
;;;;;;;Probability Manipulation;7
;;;;;;;Enhanced Smell;7
;;;;;;;Energy Beams;7
;;;;;;;Darkforce Manipulation;7
;;;;;;;Lantern Power Ring;7
;;;;;;;Camouflage;7
;;;;;;;Power Nullifier;7
;;;;;;;Spatial Awareness;6
;;;;;;;Enhanced Memory;6
;;;;;;;Technopath/Cyberpath;6
;;;;;;;Omniscient;6
;;;;;;;Molecular Dissipation;6
;;;;;;;Toxin and Disease Resistance;6
;;;;;;;Enhanced Hearing;6
;;;;;;;Hyperkinesis;6
;;;;;;;Thirstokinesis;6
;;;;;;;Power Sense;6
;;;;;;;Radiation Immunity;6
;;;;;;;Resurrection;5
;;;;;;;Marksmanship;5
;;;;;;;Gliding;5
;;;;;;;Energy Armor;5
;;;;;;;Omnipotent;5
;;;;;;;Regeneration;5
;;;;;;;Weather Control;5
;;;;;;;Omnitrix;5
;;;;;;;Radiation Absorption;4
;;;;;;;Agility;4
;;;;;;;Banish;4
;;;;;;;Enhanced Touch;4
;;;;;;;Illusions;4
;;;;;;;Time Travel;4
;;;;;;;Power Augmentation;4
;;;;;;;Electrical Transport;3
;;;;;;;Animal Control;3
;;;;;;;Animation;3
;;;;;;;Magic Resistance;3
;;;;;;;Enhanced Senses;3
;;;;;;;Sub-Mariner;2
;;;;;;;Longevity;2
;;;;;;;Wallcrawling;2
;;;;;;;Radar Sense;2
;;;;;;;Web Creation;2
;;;;;;;Super Breath;2
;;;;;;;Underwater breathing;2
;;;;;;;Stamina;1
;;;;;;;Odin Force;1
;;;;;;;Clairvoyance;1
;;;;;;;Vision - Telescopic;1
;;;;;;;Plant Control;1
;;;;;;;Hair Manipulation;1
;;;;;;;Total Geral;414
